Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2022,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,1,785000.0
2013,Murrindindi,3714,Alexandra,F Other offences,F20 Transport regulation offences,1,261000.0
2013,Murrindindi,3714,Alexandra,F Other offences,F90 Miscellaneous offences,1,261000.0
2015,Murrindindi,3714,Alexandra,F Other offences,F30 Other government regulatory offences,1,285000.0
2016,Murrindindi,3714,Alexandra,F Other offences,F90 Miscellaneous offences,1,275000.0
2018,Murrindindi,3714,Alexandra,F Other offences,F30 Other government regulatory offences,2,335000.0
2020,Murrindindi,3714,Alexandra,F Other offences,F30 Other government regulatory offences,1,380000.0
2020,Murrindindi,3714,Alexandra,F Other offences,F90 Miscellaneous offences,17,380000.0
2014,Ballarat,3350,Alfredton,F Other offences,F30 Other government regulatory offences,4,362000.0
2018,Ballarat,3350,Alfredton,F Other offences,F90 Miscellaneous offences,1,439000.0
2020,Ballarat,3350,Alfredton,F Other offences,F20 Transport regulation offences,1,512000.0
2020,Ballarat,3350,Alfredton,F Other offences,F90 Miscellaneous offences,13,512000.0
2021,Ballarat,3350,Alfredton,F Other offences,F90 Miscellaneous offences,8,605000.0
2013,Darebin,3078,Alphington,F Other offences,F30 Other government regulatory offences,1,1080000.0
2017,Darebin,3078,Alphington,F Other offences,F20 Transport regulation offences,5,1560000.0
2020,Darebin,3078,Alphington,F Other offences,F90 Miscellaneous offences,13,1865000.0
2021,Darebin,3078,Alphington,F Other offences,F90 Miscellaneous offences,9,2290000.0
2013,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,3,575000.0
2013,Hobsons Bay,3018,Altona,F Other offences,F90 Miscellaneous offences,2,575000.0
2014,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,4,646500.0
2014,Hobsons Bay,3018,Altona,F Other offences,F90 Miscellaneous offences,3,646500.0
2015,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,6,718000.0
2016,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,13,829000.0
2017,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,5,950000.0
2018,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,2,932500.0
2019,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,2,890000.0
2019,Hobsons Bay,3018,Altona,F Other offences,F30 Other government regulatory offences,2,890000.0
2020,Hobsons Bay,3018,Altona,F Other offences,F10 Regulatory driving offences,1,917000.0
2020,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,5,917000.0
2020,Hobsons Bay,3018,Altona,F Other offences,F30 Other government regulatory offences,2,917000.0
2020,Hobsons Bay,3018,Altona,F Other offences,F90 Miscellaneous offences,93,917000.0
2021,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,1,1160000.0
2021,Hobsons Bay,3018,Altona,F Other offences,F90 Miscellaneous offences,42,1160000.0
2022,Hobsons Bay,3018,Altona,F Other offences,F20 Transport regulation offences,3,1018000.0
2022,Hobsons Bay,3018,Altona,F Other offences,F30 Other government regulatory offences,1,1018000.0
2022,Hobsons Bay,3018,Altona,F Other offences,F90 Miscellaneous offences,2,1018000.0
2014,Hobsons Bay,3028,Altona Meadows,F Other offences,F90 Miscellaneous offences,3,413000.0
2015,Hobsons Bay,3028,Altona Meadows,F Other offences,F90 Miscellaneous offences,1,440000.0
2018,Hobsons Bay,3028,Altona Meadows,F Other offences,F90 Miscellaneous offences,1,631500.0
2019,Hobsons Bay,3028,Altona Meadows,F Other offences,F90 Miscellaneous offences,2,617500.0
2020,Hobsons Bay,3028,Altona Meadows,F Other offences,F30 Other government regulatory offences,1,640000.0
2020,Hobsons Bay,3028,Altona Meadows,F Other offences,F90 Miscellaneous offences,60,640000.0
2021,Hobsons Bay,3028,Altona Meadows,F Other offences,F90 Miscellaneous offences,16,720000.0
2013,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,1,510000.0
2014,Hobsons Bay,3025,Altona North,F Other offences,F20 Transport regulation offences,1,555000.0
2014,Hobsons Bay,3025,Altona North,F Other offences,F30 Other government regulatory offences,1,555000.0
2015,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,1,645000.0
2016,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,1,726000.0
2017,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,1,828000.0
2018,Hobsons Bay,3025,Altona North,F Other offences,F20 Transport regulation offences,1,830000.0
2018,Hobsons Bay,3025,Altona North,F Other offences,F30 Other government regulatory offences,1,830000.0
2019,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,1,780000.0
2020,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,124,830000.0
2021,Hobsons Bay,3025,Altona North,F Other offences,F30 Other government regulatory offences,2,960000.0
2021,Hobsons Bay,3025,Altona North,F Other offences,F90 Miscellaneous offences,34,960000.0
2022,Hobsons Bay,3025,Altona North,F Other offences,F20 Transport regulation offences,2,920000.0
2022,Hobsons Bay,3025,Altona North,F Other offences,F30 Other government regulatory offences,1,920000.0
2013,Surf Coast,3230,Anglesea,F Other offences,F20 Transport regulation offences,1,550000.0
2014,Surf Coast,3230,Anglesea,F Other offences,F20 Transport regulation offences,1,612500.0
2016,Surf Coast,3230,Anglesea,F Other offences,F20 Transport regulation offences,1,652500.0
2017,Surf Coast,3230,Anglesea,F Other offences,F20 Transport regulation offences,2,788000.0
2020,Surf Coast,3230,Anglesea,F Other offences,F90 Miscellaneous offences,11,1100000.0
2021,Surf Coast,3230,Anglesea,F Other offences,F90 Miscellaneous offences,10,1440000.0
2022,Surf Coast,3230,Anglesea,F Other offences,F90 Miscellaneous offences,1,1712500.0
2013,Colac-Otway,3233,Apollo Bay,F Other offences,F90 Miscellaneous offences,1,450000.0
2016,Colac-Otway,3233,Apollo Bay,F Other offences,F20 Transport regulation offences,5,480000.0
2016,Colac-Otway,3233,Apollo Bay,F Other offences,F30 Other government regulatory offences,1,480000.0
2020,Colac-Otway,3233,Apollo Bay,F Other offences,F90 Miscellaneous offences,23,710000.0
2021,Colac-Otway,3233,Apollo Bay,F Other offences,F30 Other government regulatory offences,2,914500.0
2021,Colac-Otway,3233,Apollo Bay,F Other offences,F90 Miscellaneous offences,12,914500.0
2022,Colac-Otway,3233,Apollo Bay,F Other offences,F20 Transport regulation offences,1,1160000.0
2013,Ararat,3377,Ararat,F Other offences,F30 Other government regulatory offences,7,180000.0
2013,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,1,180000.0
2014,Ararat,3377,Ararat,F Other offences,F30 Other government regulatory offences,5,200000.0
2014,Ararat,3377,Ararat,F Other offences,F90 Miscellaneous offences,1,200000.0
