Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2020,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,4,545000.0
2020,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,3,545000.0
2020,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,28,545000.0
2021,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,1,610000.0
2021,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,3,610000.0
2021,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,17,610000.0
2022,Brimbank,3021,Albanvale,C Drug offences,C10 Drug dealing and trafficking,11,605000.0
2022,Brimbank,3021,Albanvale,C Drug offences,C20 Cultivate or manufacture drugs,2,605000.0
2022,Brimbank,3021,Albanvale,C Drug offences,C30 Drug use and possession,21,605000.0
2013,Port Phillip,3206,Albert Park,C Drug offences,C20 Cultivate or manufacture drugs,1,1360000.0
2013,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,14,1360000.0
2014,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,9,1503000.0
2015,Port Phillip,3206,Albert Park,C Drug offences,C10 Drug dealing and trafficking,4,1700000.0
2015,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,7,1700000.0
2016,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,18,1775000.0
2017,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,6,2150000.0
2018,Port Phillip,3206,Albert Park,C Drug offences,C10 Drug dealing and trafficking,2,2070000.0
2018,Port Phillip,3206,Albert Park,C Drug offences,C20 Cultivate or manufacture drugs,1,2070000.0
2018,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,20,2070000.0
2019,Port Phillip,3206,Albert Park,C Drug offences,C10 Drug dealing and trafficking,1,1990000.0
2019,Port Phillip,3206,Albert Park,C Drug offences,C20 Cultivate or manufacture drugs,1,1990000.0
2019,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,4,1990000.0
2020,Port Phillip,3206,Albert Park,C Drug offences,C10 Drug dealing and trafficking,1,1895000.0
2020,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,13,1895000.0
2021,Port Phillip,3206,Albert Park,C Drug offences,C10 Drug dealing and trafficking,1,2300000.0
2021,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,16,2300000.0
2022,Port Phillip,3206,Albert Park,C Drug offences,C10 Drug dealing and trafficking,3,2076000.0
2022,Port Phillip,3206,Albert Park,C Drug offences,C30 Drug use and possession,10,2076000.0
2022,Port Phillip,3206,Albert Park,C Drug offences,C90 Other drug offences,6,2076000.0
2013,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,6,379000.0
2013,Brimbank,3020,Albion,C Drug offences,C20 Cultivate or manufacture drugs,4,379000.0
2013,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,17,379000.0
2014,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,1,432000.0
2014,Brimbank,3020,Albion,C Drug offences,C20 Cultivate or manufacture drugs,4,432000.0
2014,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,4,432000.0
2015,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,6,481000.0
2015,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,16,481000.0
2016,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,18,593000.0
2016,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,28,593000.0
2017,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,5,730000.0
2017,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,43,730000.0
2018,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,11,755000.0
2018,Brimbank,3020,Albion,C Drug offences,C20 Cultivate or manufacture drugs,1,755000.0
2018,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,23,755000.0
2019,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,7,675000.0
2019,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,15,675000.0
2020,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,15,727500.0
2021,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,25,830000.0
2021,Brimbank,3020,Albion,C Drug offences,C20 Cultivate or manufacture drugs,2,830000.0
2021,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,24,830000.0
2022,Brimbank,3020,Albion,C Drug offences,C10 Drug dealing and trafficking,1,785000.0
2022,Brimbank,3020,Albion,C Drug offences,C20 Cultivate or manufacture drugs,1,785000.0
2022,Brimbank,3020,Albion,C Drug offences,C30 Drug use and possession,27,785000.0
2013,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,6,261000.0
2013,Murrindindi,3714,Alexandra,C Drug offences,C20 Cultivate or manufacture drugs,2,261000.0
2013,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,10,261000.0
2014,Murrindindi,3714,Alexandra,C Drug offences,C10 Drug dealing and trafficking,10,247500.0
2014,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,17,247500.0
2015,Murrindindi,3714,Alexandra,C Drug offences,C20 Cultivate or manufacture drugs,1,285000.0
2015,Murrindindi,3714,Alexandra,C Drug offences,C30 Drug use and possession,2,285000.0
