Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,17,379000.0
2014,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,7,432000.0
2014,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,13,432000.0
2015,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,5,481000.0
2015,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,19,481000.0
2016,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,23,593000.0
2016,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,33,593000.0
2017,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,9,730000.0
2017,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,32,730000.0
2018,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,17,755000.0
2018,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,36,755000.0
2019,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,10,675000.0
2019,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,57,675000.0
2020,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,5,727500.0
2020,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,39,727500.0
2021,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,10,830000.0
2021,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,52,830000.0
2022,Brimbank,3020,Albion,E Justice procedures offences,E10 Justice procedures,3,785000.0
2022,Brimbank,3020,Albion,E Justice procedures offences,E20 Breaches of orders,76,785000.0
2013,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,3,261000.0
2013,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,1,261000.0
2014,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,5,247500.0
2014,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,11,247500.0
2015,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,1,285000.0
2015,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,16,285000.0
2016,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,1,275000.0
2016,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,3,275000.0
2017,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,2,291500.0
2017,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,9,291500.0
2018,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,2,335000.0
2018,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,20,335000.0
2019,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,7,325000.0
2019,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,17,325000.0
2020,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,1,380000.0
2020,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,17,380000.0
2021,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,3,440000.0
2021,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,45,440000.0
2022,Murrindindi,3714,Alexandra,E Justice procedures offences,E10 Justice procedures,6,545000.0
2022,Murrindindi,3714,Alexandra,E Justice procedures offences,E20 Breaches of orders,32,545000.0
2013,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,10,361500.0
2014,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,1,362000.0
2014,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,19,362000.0
2015,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,3,340500.0
2015,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,16,340500.0
2016,Ballarat,3350,Alfredton,E Justice procedures offences,E10 Justice procedures,11,375000.0
2016,Ballarat,3350,Alfredton,E Justice procedures offences,E20 Breaches of orders,41,375000.0
